bins	taxon	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy
Bin_001	[Eubacterium	2703189	64	71704	41.8011677	98.5915493	5.633802817
Bin_002	None	1832573	68	65415	41.26892558	76.05633803	0
Bin_003	Escherichia	4935160	43	224243	50.56650688	100	0
Bin_004	Bifidobacterium	2321664	46	99577	59.85240345	100	0
Bin_005	Bifidobacterium	1465285	56	44402	56.44082424	45.07042254	0
Bin_006	None	880144	71	17461	59.3388437	0	0
Bin_007	Bacteroides	3753741	166	39263	41.75829027	54.92957746	2.816901408
Bin_008	None	2095329	70	51961	42.3739904	92.95774648	1.408450704
Bin_009	None	289022	198	1365	59.08711662	0	0
Bin_010	Bacteroides	4018137	71	112263	41.73907341	49.29577465	2.816901408
Bin_011	None	3155695	63	78190	31.23240906	97.18309859	0
Bin_012	None	1381583	79	28785	59.8980516	0	0
Bin_013	Bacteroides	4768093	277	32368	43.35085315	40.84507042	2.816901408
Bin_014	None	17728	3	8907	35.38990154	0	0
Bin_015	Bacteroides	27986	11	2304	45.90997386	0	0
Bin_016	Bacteroides	2097	1	2097	33.57176919	0	0
Bin_017	None	157893	46	4887	34.50182933	0	0
Bin_018	None	901999	149	8086	56.36141787	30.98591549	0
Bin_019	Bacteroides	3266022	43	190030	42.91707232	39.43661972	0
Bin_020	None	3560163	740	8705	42.0990037	53.52112676	9.85915493
Bin_021	None	1368726	428	4839	49.64967506	0	0
Bin_022	None	1831886	34	75511	43.288092	95.77464789	1.408450704
Bin_023	None	5786425	544	14957	47.25189364	76.05633803	2.816901408
Bin_024	Bacteroides	3292139	76	65897	46.34126009	46.47887324	2.816901408
Bin_025	None	331859	155	2251	42.05550998	0	0
Bin_026	None	1743505	664	3125	49.43285602	0	0
Bin_027	None	889294	10	122907	49.0003371	19.71830986	0
Bin_028	None	4255693	962	35486	45.76390135	33.8028169	9.85915493
Bin_029	None	2732790	724	25130	41.58216112	71.83098592	19.71830986
Bin_030	None	3701359	645	48640	45.9070181	78.87323944	9.85915493
Bin_031	None	2000756	177	42726	45.04756266	52.11267606	0
Bin_032	None	2646896	1082	2774	46.03032406	47.88732394	23.94366197
Bin_033	None	4093226	589	33997	42.15568624	25.35211268	1.408450704
Bin_034	None	460903	239	1877	40.27871495	0	0
Bin_035	None	2203952	129	73563	36.77741767	73.23943662	2.816901408
Bin_036	None	3118057	133	41150	41.003521	47.88732394	1.408450704
Bin_037	None	3412728	981	16136	34.06610049	53.52112676	5.633802817
Bin_038	None	2898079	843	5467	38.47441656	77.46478873	2.816901408
Bin_039	None	5253275	461	41187	48.25819702	45.07042254	2.816901408
Bin_040	None	3289315	290	20877	48.48552024	45.07042254	1.408450704
Bin_041	None	2151802	115	30700	53.36298983	91.54929577	1.408450704
Bin_042	Lachnoclostridium	4043351	44	199411	50.06312627	45.07042254	1.408450704
Bin_043	None	4570167	372	27718	52.36429804	36.61971831	1.408450704
Bin_044	None	3972616	496	13814	49.09899335	47.88732394	0
Bin_045	None	1996403	1264	1545	61.0711357	53.52112676	28.16901408
Bin_046	None	3743906	1120	4164	48.09032977	26.76056338	4.225352113
Bin_047	None	2737513	783	4370	45.48284651	85.91549296	16.90140845
Bin_048	None	2758101	179	83446	38.42090277	95.77464789	8.450704225
Bin_049	Desulfovibrio	1669919	32	86610	64.23540667	69.01408451	0
Bin_050	None	3004647	399	20875	54.10924141	90.14084507	5.633802817
Bin_051	None	2179395	437	6827	50.20389277	94.36619718	2.816901408
